#{"t_start": 1760706908.3570316, "env_id": "CartPole-v1"}
r,l,t
18.0,18,245.25499
20.0,20,245.270999
17.0,17,245.284315
14.0,14,245.296241
18.0,18,245.30832
42.0,42,245.340925
13.0,13,245.349669
14.0,14,245.360288
14.0,14,245.369674
22.0,22,245.388195
16.0,16,245.399847
21.0,21,245.415199
14.0,14,245.424638
24.0,24,245.444923
47.0,47,245.479244
27.0,27,245.501999
10.0,10,245.507839
34.0,34,245.534255
23.0,23,245.553159
16.0,16,245.564502
22.0,22,245.579655
12.0,12,245.587996
22.0,22,245.605076
16.0,16,245.616543
16.0,16,245.628221
36.0,36,245.655301
26.0,26,245.67405
13.0,13,245.683338
29.0,29,245.706214
25.0,25,245.724302
31.0,31,245.74735
14.0,14,245.755784
30.0,30,245.781106
8.0,8,245.786736
19.0,19,245.798459
41.0,41,245.828764
45.0,45,245.862357
21.0,21,245.87675
34.0,34,245.903821
65.0,65,245.951571
54.0,54,245.992036
17.0,17,246.007375
21.0,21,246.022616
20.0,20,246.037732
31.0,31,246.063077
26.0,26,246.082568
17.0,17,246.094079
15.0,15,246.105818
14.0,14,246.117138
27.0,27,246.135876
39.0,39,246.169184
13.0,13,246.181525
13.0,13,246.197846
71.0,71,246.248708
54.0,54,246.294587
36.0,36,246.321851
17.0,17,246.333863
20.0,20,246.348326
26.0,26,246.368533
26.0,26,246.390124
71.0,71,246.444185
11.0,11,246.452494
62.0,62,246.498233
19.0,19,246.513021
53.0,53,246.552298
14.0,14,246.564968
26.0,26,246.583061
28.0,28,246.60578
12.0,12,246.615117
31.0,31,246.641837
20.0,20,246.656681
18.0,18,246.669501
19.0,19,246.684958
18.0,18,246.699356
26.0,26,246.718698
34.0,34,246.745756
32.0,32,246.76985
30.0,30,246.791263
25.0,25,246.808792
27.0,27,246.830253
26.0,26,246.850774
16.0,16,246.863517
44.0,44,246.897122
30.0,30,246.920066
95.0,95,246.995069
31.0,31,247.019649
17.0,17,247.031932
11.0,11,247.040675
13.0,13,247.049143
16.0,16,247.060958
16.0,16,247.072592
20.0,20,247.08753
23.0,23,247.110377
19.0,19,247.132834
20.0,20,247.155938
30.0,30,247.196454
29.0,29,247.245825
12.0,12,247.258096
90.0,90,247.354517
16.0,16,247.370774
21.0,21,247.390949
33.0,33,247.425797
36.0,36,247.458704
41.0,41,247.497244
10.0,10,247.508347
22.0,22,247.528845
24.0,24,247.551287
21.0,21,247.573695
16.0,16,247.588636
22.0,22,247.607903
65.0,65,247.670218
11.0,11,247.681102
55.0,55,247.736383
11.0,11,247.74666
52.0,52,247.795644
67.0,67,247.855129
18.0,18,247.873168
15.0,15,247.886996
51.0,51,247.935797
15.0,15,247.950999
25.0,25,247.9735
48.0,48,248.018196
71.0,71,248.080551
15.0,15,248.094398
52.0,52,248.141638
21.0,21,248.160262
28.0,28,248.185091
36.0,36,248.219363
32.0,32,248.250492
9.0,9,248.259356
66.0,66,248.340581
32.0,32,248.369068
104.0,104,248.474395
13.0,13,248.488703
26.0,26,248.519875
17.0,17,248.538827
16.0,16,248.557348
21.0,21,248.576958
22.0,22,248.603779
17.0,17,248.621487
59.0,59,248.683137
39.0,39,248.717709
59.0,59,248.783564
40.0,40,248.830114
22.0,22,248.852944
137.0,137,249.003797
46.0,46,249.051371
21.0,21,249.074684
79.0,79,249.144003
21.0,21,249.16257
29.0,29,249.184836
23.0,23,249.202339
12.0,12,249.211596
25.0,25,249.229798
28.0,28,249.251177
15.0,15,249.264342
16.0,16,249.2786
22.0,22,249.297024
28.0,28,249.321119
29.0,29,249.352039
25.0,25,249.371727
27.0,27,249.392029
29.0,29,249.41691
15.0,15,249.427634
41.0,41,249.458856
26.0,26,249.479929
73.0,73,249.535497
60.0,60,249.582324
32.0,32,249.605946
65.0,65,249.659563
116.0,116,249.756794
23.0,23,249.771955
32.0,32,249.79786
73.0,73,249.85971
35.0,35,249.885781
13.0,13,249.897232
33.0,33,249.921027
24.0,24,249.941055
19.0,19,249.957563
65.0,65,250.005141
14.0,14,250.014709
39.0,39,250.04492
11.0,11,250.053624
33.0,33,250.078541
38.0,38,250.1086
27.0,27,250.126972
15.0,15,250.139107
13.0,13,250.148067
19.0,19,250.163344
50.0,50,250.204072
26.0,26,250.221792
41.0,41,250.253049
17.0,17,250.267458
18.0,18,250.281325
71.0,71,250.338399
17.0,17,250.355505
18.0,18,250.376779
19.0,19,250.388361
38.0,38,250.421801
39.0,39,250.452684
18.0,18,250.465626
20.0,20,250.481364
29.0,29,250.503342
12.0,12,250.513003
82.0,82,250.578128
10.0,10,250.584569
16.0,16,250.597081
46.0,46,250.633564
8.0,8,250.639677
50.0,50,250.677091
13.0,13,250.688454
22.0,22,250.705109
50.0,50,250.742759
11.0,11,250.751054
44.0,44,250.785448
50.0,50,250.825518
18.0,18,250.83796
55.0,55,250.88106
17.0,17,250.896324
18.0,18,250.911778
20.0,20,250.928239
30.0,30,250.951199
15.0,15,250.96379
85.0,85,251.030119
17.0,17,251.045191
22.0,22,251.06182
76.0,76,251.122393
16.0,16,251.135441
31.0,31,251.161066
32.0,32,251.187236
13.0,13,251.196784
82.0,82,251.268129
26.0,26,251.288191
20.0,20,251.304282
29.0,29,251.32608
19.0,19,251.341916
101.0,101,251.429681
31.0,31,251.45636
20.0,20,251.471727
53.0,53,251.514396
13.0,13,251.526514
52.0,52,251.569572
27.0,27,251.591657
12.0,12,251.601223
20.0,20,251.616817
39.0,39,251.648021
28.0,28,251.669651
50.0,50,251.709564
37.0,37,251.738539
21.0,21,251.754584
30.0,30,251.778335
24.0,24,251.797874
10.0,10,251.804177
36.0,36,251.83272
15.0,15,251.84515
33.0,33,251.871263
44.0,44,251.905646
51.0,51,251.9489
44.0,44,251.984843
11.0,11,251.993178
21.0,21,252.009067
12.0,12,252.017925
14.0,14,252.027794
41.0,41,252.061566
57.0,57,252.109353
29.0,29,252.132488
18.0,18,252.146917
14.0,14,252.156196
14.0,14,252.167888
37.0,37,252.196113
11.0,11,252.204242
13.0,13,252.212714
28.0,28,252.232817
15.0,15,252.24633
48.0,48,252.286777
23.0,23,252.304217
28.0,28,252.326098
13.0,13,252.337596
51.0,51,252.376927
33.0,33,252.404422
10.0,10,252.414365
16.0,16,252.435307
14.0,14,252.448341
25.0,25,252.468981
19.0,19,252.485655
47.0,47,252.522215
21.0,21,252.540659
15.0,15,252.551305
13.0,13,252.562633
38.0,38,252.593231
13.0,13,252.602933
73.0,73,252.660821
30.0,30,252.682189
12.0,12,252.691756
61.0,61,252.739845
23.0,23,252.75895
172.0,172,252.899624
17.0,17,252.913913
28.0,28,252.940056
16.0,16,252.953075
28.0,28,252.976583
9.0,9,252.985145
49.0,49,253.026318
38.0,38,253.053758
60.0,60,253.100514
49.0,49,253.141666
15.0,15,253.151483
18.0,18,253.165683
53.0,53,253.208647
20.0,20,253.223425
12.0,12,253.232879
23.0,23,253.2508
37.0,37,253.284004
32.0,32,253.311099
26.0,26,253.3338
62.0,62,253.383641
14.0,14,253.395643
28.0,28,253.418391
25.0,25,253.442243
46.0,46,253.485578
63.0,63,253.535201
16.0,16,253.547389
46.0,46,253.586535
36.0,36,253.615449
12.0,12,253.62459
25.0,25,253.642536
84.0,84,253.71262
25.0,25,253.730859
19.0,19,253.744892
22.0,22,253.760346
70.0,70,253.81702
67.0,67,253.868847
18.0,18,253.881648
42.0,42,253.917639
26.0,26,253.937566
19.0,19,253.954074
65.0,65,254.006418
44.0,44,254.040908
21.0,21,254.056977
38.0,38,254.087544
53.0,53,254.129063
18.0,18,254.144645
39.0,39,254.172941
38.0,38,254.205881
21.0,21,254.226578
15.0,15,254.240472
52.0,52,254.293766
10.0,10,254.300372
14.0,14,254.312906
10.0,10,254.319328
31.0,31,254.345185
