#{"t_start": 1760716355.7330248, "env_id": "CartPole-v1"}
r,l,t
500.0,500,215.686136
500.0,500,216.054626
500.0,500,216.431763
500.0,500,216.845382
500.0,500,218.36364
500.0,500,218.754224
500.0,500,219.117193
500.0,500,219.565935
500.0,500,221.166872
500.0,500,221.547652
500.0,500,221.926356
500.0,500,222.300316
500.0,500,224.125602
500.0,500,224.594847
500.0,500,225.116426
500.0,500,225.64691
500.0,500,227.244165
500.0,500,227.67024
500.0,500,228.0519
500.0,500,228.424297
500.0,500,229.935216
500.0,500,230.312024
500.0,500,230.672962
500.0,500,231.038482
500.0,500,232.541866
500.0,500,232.924433
500.0,500,233.313344
500.0,500,233.684129
500.0,500,235.236466
500.0,500,235.594837
500.0,500,236.110438
500.0,500,236.595809
500.0,500,237.063892
500.0,500,238.957339
500.0,500,239.325301
500.0,500,239.700544
500.0,500,240.075914
500.0,500,241.611413
500.0,500,241.976711
500.0,500,242.340993
500.0,500,242.712383
500.0,500,244.351999
500.0,500,244.77715
500.0,500,245.15402
500.0,500,245.521137
500.0,500,247.104824
500.0,500,247.489619
500.0,500,247.86608
500.0,500,248.318312
500.0,500,250.532027
500.0,500,250.908241
500.0,500,251.275581
500.0,500,251.680036
500.0,500,253.246382
500.0,500,253.620372
500.0,500,254.03992
500.0,500,254.405827
500.0,500,256.013509
500.0,500,256.385942
500.0,500,256.76033
500.0,500,257.13773
500.0,500,258.68198
500.0,500,259.057835
500.0,500,259.434841
500.0,500,259.798904
500.0,500,261.661415
500.0,500,262.13778
500.0,500,262.683303
500.0,500,263.114389
500.0,500,264.654321
500.0,500,265.028457
500.0,500,265.396457
500.0,500,265.775964
500.0,500,267.374328
500.0,500,267.744503
500.0,500,268.111787
500.0,500,268.475769
500.0,500,268.853148
500.0,500,270.377689
500.0,500,270.746868
500.0,500,271.113816
500.0,500,271.47835
500.0,500,273.164487
500.0,500,273.754232
500.0,500,274.228146
500.0,500,274.725295
500.0,500,276.437286
500.0,500,276.798806
500.0,500,277.17931
500.0,500,277.547672
500.0,500,279.378439
500.0,500,279.803933
500.0,500,280.184846
500.0,500,280.550549
500.0,500,282.085772
500.0,500,282.463934
500.0,500,282.825037
500.0,500,283.187105
500.0,500,284.755684
500.0,500,285.162061
500.0,500,285.68942
500.0,500,286.244116
500.0,500,288.219784
500.0,500,288.593282
500.0,500,288.954718
500.0,500,289.321428
500.0,500,290.840163
500.0,500,291.205108
500.0,500,291.573097
500.0,500,291.945993
500.0,500,293.485853
500.0,500,293.879274
500.0,500,294.318101
500.0,500,294.675872
500.0,500,296.234144
500.0,500,296.592255
500.0,500,296.962578
500.0,500,297.324234
500.0,500,297.708957
500.0,500,299.866627
500.0,500,300.348317
500.0,500,300.793154
500.0,500,301.192061
500.0,500,302.694176
500.0,500,303.061993
500.0,500,303.449944
500.0,500,303.808822
500.0,500,305.325626
500.0,500,305.693123
500.0,500,306.059392
500.0,500,306.458682
500.0,500,307.962783
500.0,500,308.338062
500.0,500,308.697364
500.0,500,309.071605
500.0,500,311.021328
500.0,500,311.501873
500.0,500,312.044759
500.0,500,312.63909
500.0,500,314.143273
500.0,500,314.515088
500.0,500,314.886221
500.0,500,315.330273
500.0,500,316.961591
500.0,500,317.33058
500.0,500,317.689443
500.0,500,318.09084
500.0,500,319.586237
500.0,500,319.961473
500.0,500,320.345413
500.0,500,320.768866
500.0,500,322.324646
500.0,500,322.80646
500.0,500,323.293407
500.0,500,323.761601
500.0,500,325.749557
500.0,500,326.201875
500.0,500,326.567292
500.0,500,326.959553
500.0,500,327.376585
500.0,500,328.978446
500.0,500,329.361941
500.0,500,329.722136
500.0,500,330.084643
500.0,500,331.689686
500.0,500,332.054474
500.0,500,332.433915
500.0,500,332.797426
500.0,500,334.359706
500.0,500,334.738572
500.0,500,335.237578
500.0,500,335.75217
500.0,500,337.841259
500.0,500,338.209768
500.0,500,338.573972
500.0,500,338.948744
500.0,500,340.543079
500.0,500,340.918689
500.0,500,341.285846
500.0,500,341.655203
500.0,500,343.328968
500.0,500,343.69321
500.0,500,344.128267
500.0,500,344.585874
500.0,500,346.13507
500.0,500,346.495833
500.0,500,346.861034
500.0,500,347.250257
500.0,500,349.465852
500.0,500,349.87413
500.0,500,350.246349
500.0,500,350.606879
500.0,500,352.205443
500.0,500,352.574766
500.0,500,352.935874
500.0,500,353.318158
500.0,500,354.835533
500.0,500,355.196098
500.0,500,355.570508
500.0,500,355.933588
500.0,500,357.488731
500.0,500,357.853804
500.0,500,358.218116
500.0,500,358.609945
500.0,500,358.968972
500.0,500,360.817298
500.0,500,361.290534
500.0,500,361.826838
500.0,500,362.246265
500.0,500,363.780024
500.0,500,364.135834
500.0,500,364.501019
500.0,500,364.877377
500.0,500,366.373534
500.0,500,366.738208
500.0,500,367.118928
500.0,500,367.479396
500.0,500,369.023306
500.0,500,369.393138
500.0,500,369.755693
500.0,500,370.154989
500.0,500,371.670298
500.0,500,372.091771
500.0,500,372.592539
500.0,500,373.08663
500.0,500,375.060708
500.0,500,375.441731
500.0,500,375.808301
500.0,500,376.184207
500.0,500,377.752181
500.0,500,378.13202
500.0,500,378.50872
500.0,500,378.895783
500.0,500,380.396666
500.0,500,380.753638
500.0,500,381.113008
500.0,500,381.483843
500.0,500,382.988711
500.0,500,383.352262
500.0,500,383.72724
500.0,500,384.09373
500.0,500,386.14602
500.0,500,386.688419
500.0,500,387.087149
500.0,500,387.450334
500.0,500,387.842995
500.0,500,389.407456
500.0,500,389.785678
500.0,500,390.14538
500.0,500,390.509293
500.0,500,392.09044
500.0,500,392.455357
500.0,500,392.810746
500.0,500,393.184504
500.0,500,394.69644
500.0,500,395.075719
500.0,500,395.441682
500.0,500,395.808657
500.0,500,397.517326
500.0,500,397.990141
500.0,500,398.482837
500.0,500,399.014035
500.0,500,400.725101
500.0,500,401.090597
500.0,500,401.465019
500.0,500,401.828962
500.0,500,403.48381
500.0,500,403.855384
500.0,500,404.249794
500.0,500,404.627656
500.0,500,406.207312
500.0,500,406.587988
500.0,500,406.977074
500.0,500,407.355445
500.0,500,408.930205
500.0,500,409.352029
500.0,500,409.843545
500.0,500,410.33108
500.0,500,412.338675
500.0,500,412.733875
500.0,500,413.103617
500.0,500,413.466607
500.0,500,415.018988
500.0,500,415.388412
500.0,500,415.751404
500.0,500,416.125753
500.0,500,417.707549
500.0,500,418.098125
500.0,500,418.553732
500.0,500,418.946479
500.0,500,419.325583
500.0,500,420.842631
500.0,500,421.215751
500.0,500,421.590754
500.0,500,422.110223
500.0,500,424.219325
500.0,500,424.598962
500.0,500,424.962954
500.0,500,425.338344
500.0,500,426.856688
500.0,500,427.221628
500.0,500,427.60884
500.0,500,427.974649
500.0,500,429.574876
500.0,500,429.938446
500.0,500,430.338246
500.0,500,430.793167
500.0,500,432.350768
500.0,500,432.742601
500.0,500,433.107216
500.0,500,433.478009
500.0,500,435.444509
500.0,500,435.963818
500.0,500,436.438888
500.0,500,436.803641
500.0,500,438.496385
500.0,500,438.92695
500.0,500,439.297059
500.0,500,439.665137
500.0,500,441.163174
500.0,500,441.519397
500.0,500,441.873861
500.0,500,442.24589
500.0,500,443.786354
500.0,500,444.162072
500.0,500,444.549187
500.0,500,444.931619
500.0,500,446.558388
500.0,500,447.068939
500.0,500,447.557401
500.0,500,448.064849
500.0,500,448.616482
500.0,500,450.165866
500.0,500,450.544735
500.0,500,450.906658
500.0,500,451.275956
500.0,500,452.85397
500.0,500,453.212329
500.0,500,453.591159
500.0,500,453.952626
500.0,500,455.461426
500.0,500,455.832772
500.0,500,456.193195
500.0,500,456.646289
500.0,500,458.184679
500.0,500,458.550418
500.0,500,459.053494
500.0,500,459.533411
500.0,500,461.610277
500.0,500,462.003562
500.0,500,462.375791
500.0,500,462.743959
500.0,500,464.292251
500.0,500,464.662792
500.0,500,465.043312
500.0,500,465.412291
500.0,500,466.927539
500.0,500,467.303328
500.0,500,467.665586
500.0,500,468.025266
500.0,500,469.561977
500.0,500,469.922485
500.0,500,470.296355
500.0,500,470.655707
500.0,500,472.671625
500.0,500,473.192566
500.0,500,473.703187
500.0,500,474.066374
500.0,500,475.616349
500.0,500,475.980787
500.0,500,476.338804
500.0,500,476.71456
500.0,500,477.079154
500.0,500,478.636716
500.0,500,478.998764
500.0,500,479.362374
500.0,500,479.741966
500.0,500,481.436173
500.0,500,481.867249
500.0,500,482.225391
500.0,500,482.588701
500.0,500,484.33951
500.0,500,484.824136
500.0,500,485.301649
500.0,500,485.826557
500.0,500,487.430032
500.0,500,487.793356
500.0,500,488.169102
500.0,500,488.529864
500.0,500,490.085901
500.0,500,490.464554
500.0,500,490.84392
500.0,500,491.217704
500.0,500,492.972588
500.0,500,493.348013
500.0,500,493.720901
500.0,500,494.090185
500.0,500,495.617265
500.0,500,495.983485
500.0,500,496.554919
500.0,500,497.032969
500.0,500,499.043532
500.0,500,499.416454
500.0,500,499.843068
500.0,500,500.209935
500.0,500,501.726208
500.0,500,502.094569
500.0,500,502.456385
500.0,500,502.843156
500.0,500,504.398064
500.0,500,504.776692
500.0,500,505.142153
500.0,500,505.511156
500.0,500,507.217281
500.0,500,507.583861
500.0,500,507.972568
500.0,500,508.341242
500.0,500,508.82346
500.0,500,511.061407
500.0,500,511.424289
500.0,500,511.78558
500.0,500,512.158974
500.0,500,513.72029
500.0,500,514.095316
500.0,500,514.462009
500.0,500,514.825983
500.0,500,516.359962
500.0,500,516.715554
500.0,500,517.082197
500.0,500,517.457114
500.0,500,519.136504
500.0,500,519.510378
500.0,500,519.871482
500.0,500,520.235697
500.0,500,522.192471
500.0,500,522.731004
500.0,500,523.241312
500.0,500,523.626
500.0,500,525.134446
500.0,500,525.499696
500.0,500,525.879125
500.0,500,526.244381
500.0,500,527.793237
500.0,500,528.155268
500.0,500,528.539364
500.0,500,528.934492
500.0,500,530.481783
500.0,500,530.879477
500.0,500,531.243214
500.0,500,531.601014
500.0,500,533.278298
500.0,500,533.791327
500.0,500,534.279939
500.0,500,534.732111
500.0,500,536.563518
500.0,500,536.954317
500.0,500,537.332741
500.0,500,537.701241
500.0,500,538.086268
500.0,500,539.650783
500.0,500,540.023535
500.0,500,540.404979
500.0,500,540.768564
500.0,500,542.367813
500.0,500,542.744823
500.0,500,543.110649
500.0,500,543.484782
500.0,500,545.015357
500.0,500,545.390468
500.0,500,545.867849
500.0,500,546.364022
500.0,500,548.430062
500.0,500,548.803329
500.0,500,549.165607
500.0,500,549.528419
500.0,500,551.155936
500.0,500,551.522944
500.0,500,551.898561
500.0,500,552.281532
500.0,500,554.078173
500.0,500,554.457301
500.0,500,554.830118
500.0,500,555.192281
500.0,500,556.793352
500.0,500,557.172383
500.0,500,557.533445
500.0,500,557.907996
500.0,500,560.368823
500.0,500,560.727749
500.0,500,561.12564
500.0,500,561.487858
500.0,500,563.029965
500.0,500,563.403837
500.0,500,563.759398
500.0,500,564.126512
500.0,500,565.677947
500.0,500,566.042948
500.0,500,566.419666
500.0,500,566.778775
500.0,500,568.25996
500.0,500,568.6278
500.0,500,569.001879
500.0,500,569.385027
500.0,500,569.747639
500.0,500,571.664829
500.0,500,572.151034
500.0,500,572.692761
500.0,500,573.090391
500.0,500,574.652571
500.0,500,575.018673
500.0,500,575.463526
500.0,500,575.839352
500.0,500,577.499276
500.0,500,577.865762
500.0,500,578.303145
500.0,500,578.740711
500.0,500,580.236922
500.0,500,580.598773
500.0,500,580.999783
500.0,500,581.396873
500.0,500,583.125752
500.0,500,583.614524
500.0,500,584.106356
500.0,500,584.631534
500.0,500,586.437037
500.0,500,586.796759
500.0,500,587.170768
500.0,500,587.537733
500.0,500,589.07273
500.0,500,589.443615
500.0,500,589.795428
500.0,500,590.152668
500.0,500,591.654653
500.0,500,592.016477
500.0,500,592.399279
500.0,500,592.764538
500.0,500,594.318468
500.0,500,594.714349
500.0,500,595.080986
500.0,500,595.552428
500.0,500,597.7572
500.0,500,598.120609
500.0,500,598.486622
500.0,500,598.860635
500.0,500,599.223285
500.0,500,600.791218
500.0,500,601.151893
500.0,500,601.512007
500.0,500,601.882232
500.0,500,603.459341
500.0,500,603.830359
500.0,500,604.205986
500.0,500,604.567728
500.0,500,606.140559
500.0,500,606.52651
500.0,500,606.890563
500.0,500,607.355643
500.0,500,609.594987
500.0,500,610.109387
500.0,500,610.491081
500.0,500,610.879032
500.0,500,612.441692
500.0,500,612.8015
500.0,500,613.162968
500.0,500,613.546295
500.0,500,615.071124
500.0,500,615.452617
500.0,500,615.80937
500.0,500,616.174941
500.0,500,617.761848
500.0,500,618.125347
500.0,500,618.492116
500.0,500,618.866508
500.0,500,620.567852
500.0,500,621.051768
500.0,500,621.509183
500.0,500,622.015366
500.0,500,623.715974
500.0,500,624.098027
500.0,500,624.460512
500.0,500,624.832335
500.0,500,626.37144
500.0,500,626.732086
500.0,500,627.125101
500.0,500,627.523962
500.0,500,629.10514
500.0,500,629.480324
500.0,500,629.844583
500.0,500,630.217408
500.0,500,630.576552
500.0,500,632.140579
500.0,500,632.533177
500.0,500,633.028583
500.0,500,633.513688
500.0,500,635.533959
500.0,500,635.891336
500.0,500,636.249519
500.0,500,636.622384
500.0,500,638.118301
500.0,500,638.495733
500.0,500,638.853925
500.0,500,639.21162
500.0,500,640.862632
500.0,500,641.225227
500.0,500,641.602602
500.0,500,641.96258
500.0,500,643.565209
500.0,500,643.924033
500.0,500,644.303282
500.0,500,644.690632
500.0,500,647.001595
500.0,500,647.442174
500.0,500,647.818565
500.0,500,648.243701
500.0,500,649.889724
500.0,500,650.259932
500.0,500,650.61739
500.0,500,650.992321
500.0,500,652.527496
500.0,500,652.898215
500.0,500,653.278241
500.0,500,653.644513
500.0,500,655.197106
500.0,500,655.554999
500.0,500,655.920886
500.0,500,656.302956
500.0,500,658.172398
500.0,500,658.65177
500.0,500,659.174631
500.0,500,659.727951
