#{"t_start": 1760405989.5269659, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
57.0,4579,5835.990849
54.0,3975,5843.501327
42.0,3221,5849.709569
76.0,5932,5861.254038
60.0,5058,5871.056578
65.0,5070,5880.755555
37.0,4268,5889.146845
54.0,5570,5899.905033
18.0,2562,5904.756754
39.0,4528,5913.524192
67.0,5329,5923.80213
40.0,3738,5930.958464
48.0,4035,5938.792857
87.0,5922,5950.151909
61.0,5235,5960.437804
61.0,5521,5971.060686
40.0,3513,5977.845933
72.0,5580,5988.687106
78.0,5444,5999.087358
42.0,3936,6006.741073
52.0,4531,6015.373826
66.0,5162,6025.344029
83.0,5611,6036.248799
36.0,4353,6044.738371
107.0,6563,6057.348228
34.0,4092,6065.262005
77.0,5132,6075.176193
56.0,4974,6084.881138
69.0,5619,6095.720333
33.0,3720,6103.000713
34.0,3085,6108.873129
119.0,5826,6120.108099
66.0,5501,6130.651622
66.0,4952,6140.246455
74.0,4699,6149.351729
62.0,5343,6159.626599
39.0,3207,6165.726242
45.0,3741,6173.042992
60.0,4993,6182.662098
67.0,4601,6191.557188
18.0,2002,6195.358824
63.0,5760,6206.476508
71.0,5510,6217.039023
24.0,3013,6222.833547
22.0,2566,6227.737501
71.0,5100,6237.633508
26.0,2197,6241.847782
50.0,4374,6250.380547
69.0,4624,6259.086984
56.0,4679,6268.131454
99.0,6161,6280.166868
60.0,4655,6289.160012
55.0,4635,6298.118147
56.0,4746,6307.229138
77.0,5993,6318.894254
76.0,5302,6329.138375
58.0,4697,6338.212767
93.0,6169,6350.163279
43.0,4216,6358.338757
95.0,6298,6370.47825
61.0,3569,6377.393269
86.0,5927,6388.851571
43.0,3845,6396.076595
60.0,4026,6403.871221
49.0,4229,6412.029637
53.0,5402,6422.435128
63.0,4501,6431.144251
35.0,3011,6436.968793
83.0,5903,6448.318351
57.0,4553,6457.171066
94.0,5741,6468.292887
84.0,7071,6482.087793
73.0,5673,6493.124776
41.0,4263,6501.321845
56.0,5197,6511.321584
36.0,3123,6517.320633
78.0,6397,6529.6545
72.0,5012,6539.361008
